Room,Level,Building,Colour Code,Room Name,Function,Owner | Booker,Usage Notes / Specialist notes,Capacity,Image,Movable Furniture?,House PC,BYOD Connection(s),BYOD Non-standard connections,Main Display,Secondary Display,Podium monitor,Camera,Microphone,Document Cam (Visulizer),Conference Phone,Last Upgraded,Upgrade Due,Upgrade Priority,Door Signage,Comments,Task Assigned to,Modified,Modified By
SA18,1,GHA,Yellow,Yellow Lecture Theatre,Teaching ,,,68,,,Yes,HDMI,,Projector,,Standard monitor,IP,Gooseneck & boundary,SDC-450,,,Summer 2023,High,Updating,Upgrade to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:59:47Z,l.mitchell36@rgu.ac.uk
SA21,1,GHA,Yellow,Yellow Teaching Room,Teaching,GSA,,,,,Yes,HDMI,,Projector,,Standard monitor,WebCam,WebCam & Gooseneck,SDC-330,,,,,,,,2023-07-17T10:59:48Z,l.mitchell36@rgu.ac.uk
SA26,1,GHA,Specialist,Studio,Specialist Activities,GSA,(Purple),8,,,BYOD,HDMI & Screen share,,Touchscreen,,,USB - conference,USB Conference,,,,,,,,,2023-06-06T14:55:06Z,l.mitchell36@rgu.ac.uk
SA28/29,1,GHA,Specialist,Studio,Specialist Activities,GSA,,,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SA32,1,GHA,Yellow,Yellow Teaching Room,Teaching,,,,,,Yes,HDMI,,Projector,,Standard monitor,WebCam,WebCam,,,,,,,unavailable,,2023-07-17T10:59:49Z,l.mitchell36@rgu.ac.uk
SA35,1,GHA,Specialist,Visual Communications,Specialist Activities,GSA,,,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SA38,1,GHA,Specialist,Photographic Studio,Specialist Activities,,,,,,N/A,,,,,,,,,,,,,,check school,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SA44/47,1,GHA,Yellow,Yellow MAC Lab,IT Lab (School),GSA,(Yellow) ,62,,,Mac,HDMI,,Projector x2,Projector,Standard monitor,Camera built into MAC,Lapel,,,,Summer 2023,Medium,Updating,Remaining Yellow,r.pearce@rgu.ac.uk,2023-07-17T10:59:50Z,l.mitchell36@rgu.ac.uk
SA47b,1,GHA,Specialist,Digital Print Room,Specialist Activities,GSA,,,,Y,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SA48,1,GHA,Specialist,Green Room,Specialist Activities,,,,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SA49,1,GHA,Specialist,Audio Lab,Specialist Activities,GSA,,,,,N/A,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SB05,2,GHA,Purple,Boardroom,Meeting,Principal's Office,,11,,Y,Yes,HDMI,,Touchscreen,,,USB - conference,Soundbar,,Cisco 8831,,,,,,,2023-05-30T11:19:02Z,l.mitchell36@rgu.ac.uk
SB13,2,GHA,,Meeting Room,Meeting,BAED,,,,,Yes,,,,,,,,,,,,,,,,2023-05-30T11:04:27Z,l.mitchell36@rgu.ac.uk
SB23,2,GHA,Yellow,Yellow Teaching Room,Teaching (School),GSA,,,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-450,,,,,,,,2023-07-17T10:59:51Z,l.mitchell36@rgu.ac.uk
SB27,2,GHA,Purple,Purple Teaching Room,Teaching (School),GSA,,,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,,,,2023-05-30T11:19:02Z,l.mitchell36@rgu.ac.uk
SB29,2,GHA,,Studio,Teaching (School),GSA,,42,,Y,Mac x2,HDMI & VGA,,Projector x2,Projector,,Camera built into MAC,Lapel,,,,,,,,,2023-05-30T11:04:27Z,l.mitchell36@rgu.ac.uk
SB30/33,2,GHA,Yellow,Yellow IT Lab,IT Lab (School),SOC,,40,,Y,Mac x2,HDMI & VGA,,Projector x2,Projector,Standard monitor,Camera built into MAC,Lapel,,,,,,,signage check,,2023-07-17T10:59:52Z,l.mitchell36@rgu.ac.uk
SB36,2,GHA,Specialist,Studio,Specialist Activities,GSA,(Yellow) ,46,,,Mac,HDMI,,Projector,Projector,,Camera built into MAC,Lapel,WV VSolutionCam,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SB37a,2,GHA,Specialist,Studio,Specialist Activities,GSA,(Yellow) ,,,,Yes,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SB37b,2,GHA,Specialist,Studio,Specialist Activities,GSA,(Yellow) ,,,Y,Yes,,,,,,,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
SB42,2,GHA,,Yellow Lecture Theatre,Teaching ,,,159,,,Yes,HDMI & VGA,,Projector,,,IP,Boundary & lapel,SDC-450,,,,,,,,2023-05-30T11:04:27Z,l.mitchell36@rgu.ac.uk
SB43,2,GHA,,Meeting Room,Meeting,,,14,,Y,Yes,HDMI,VIA Go,Screen,,,WebCam,WebCam,,Cisco 8831,,,,,,,2023-05-30T11:04:27Z,l.mitchell36@rgu.ac.uk
SC01,3,GHA,Yellow,Principals Office,Meeting,Principal's Office,(Yellow) standard signage,18,,Y,Yes,HDMI & VGA,,Screen,Projector,,WebCam,WebCam & boundary,,Cisco 7937,,,,,,,2023-05-30T11:54:05Z,l.mitchell36@rgu.ac.uk
SC26,3,GHA,Yellow,Meeting Room,Meeting,MKT,(Yellow) standard signage,4,,Y,Yes,HDMI,VIA Go,Screen,,,WebCam,WebCam,,Cisco 7937,,,,,,,2023-05-30T11:54:36Z,l.mitchell36@rgu.ac.uk
SC31,3,GHA,Yellow,Meeting Room,Meeting,,(Yellow) standard signage,10,,Y,Yes,HDMI,VIA Go,Screen,,,WebCam,WebCam,,,,,,,,,2023-05-30T11:54:22Z,l.mitchell36@rgu.ac.uk
SC32,3,GHA,Specialist,Studio,Specialist Activities,GSA,(Yellow) ,,,,Yes,VGA,,Projector,Projector,,Not Required,,,,,,,,,,2023-05-30T11:18:40Z,l.mitchell36@rgu.ac.uk
Ic202,2,ICRGU,Yellow,Yellow Training Room,Training Room,DELTA,Staff development,,,Y,,,,,,,,,,,,Summer 2023,High,Updating,Upgrading to Purple,r.pearce@rgu.ac.uk,2023-06-06T15:51:59Z,l.mitchell36@rgu.ac.uk
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-17T10:59:53Z,l.mitchell36@rgu.ac.uk
